epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,1585.88,1.42879,1.12639,1.40956,0.76908,0.67267,0.71641,0.34228,2.0611,1.27256,2.02516,7.93063e-05,7.93063e-05,7.93063e-05
91,1615.79,1.4506,1.05116,1.45988,0.76868,0.63871,0.69099,0.3228,2.1093,1.2883,2.03442,7.2703e-05,7.2703e-05,7.2703e-05
92,1631.88,1.41749,1.00499,1.4604,0.7719,0.63566,0.70481,0.33304,2.09093,1.2848,2.0035,6.60997e-05,6.60997e-05,6.60997e-05
93,1647.87,1.39893,0.99317,1.45384,0.78836,0.65981,0.7197,0.33514,2.08537,1.24715,2.01547,5.94964e-05,5.94964e-05,5.94964e-05
94,1664.26,1.39536,1.00243,1.44773,0.79,0.66681,0.71664,0.34188,2.10244,1.24766,2.02516,5.28931e-05,5.28931e-05,5.28931e-05
95,1680.47,1.39593,0.98421,1.43745,0.77618,0.65962,0.73436,0.33937,2.09289,1.24688,2.01805,4.62898e-05,4.62898e-05,4.62898e-05
96,1696.55,1.36264,0.94765,1.41313,0.77186,0.66784,0.72826,0.33621,2.11162,1.23394,2.02913,3.96865e-05,3.96865e-05,3.96865e-05
97,1712.4,1.39621,0.96146,1.43688,0.78262,0.66013,0.72457,0.33436,2.10419,1.24567,2.0174,3.30832e-05,3.30832e-05,3.30832e-05
98,1728.36,1.35724,0.92971,1.4106,0.78903,0.66318,0.73126,0.3365,2.09224,1.24581,2.01714,2.64799e-05,2.64799e-05,2.64799e-05
99,1744.29,1.35986,0.91247,1.40934,0.82207,0.65468,0.73582,0.34119,2.09167,1.22907,2.01343,1.98766e-05,1.98766e-05,1.98766e-05
100,1760.14,1.3599,0.93654,1.40737,0.81786,0.66187,0.7355,0.34331,2.09224,1.21777,2.01433,1.32733e-05,1.32733e-05,1.32733e-05
